# Expression Atlas version: 3.1
# Query: Genes matching: 'protein_coding (gene_biotype)', specifically expressed in any Organism part above the expression level cutoff: 0.5 in experiment E-MTAB-2836
# Timestamp: Wed, 15-Mar-2017 20:44:50
Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000001460	STPG1	1	1		2	2	1	1	1	5	1	0.7	1		2	0.7	1		0.5	2	2	0.6		1	1	0.7	1	9	2	1	1	0.8	1
ENSG00000001461	NIPAL3	3	3	1	20	7	5	3	5	8	5	4	6	0.5	7	5	4	2	2	22	7	4	0.9	5	5	4	6	3	15	6	5	4	5
ENSG00000001497	LAS1L	6	7	9	9	5	5	14	6	11	5	3	6	3	7	11	14	2	7	8	7	5	3	5	7	9	6	17	7	10	6	8	9
ENSG00000001561	ENPP4	12	14	23	18	12	10	4	5	11	7	8	15	4	18	7	2	3	3	15	12	12	8	9	5	13	10	9	12	5	8	8	1
ENSG00000001617	SEMA3F	6	2	0.8	0.6	3	6	3	24	10	4	3	6	0.7	12	1	0.6	0.7	18	10	3	6	1	7	4	16	6	1	8	5	12	4	29
ENSG00000001626	CFTR				0.5	29	23	0.7		1	34		0.5	0.5	5			35		1	30	6		8			2	0.6			1	2	
ENSG00000001629	ANKIB1	9	10	4	16	11	9	12	10	10	12	5	19	4	9	11	11	3	9	9	10	7	2	10	11	11	9	19	15	10	14	10	12
ENSG00000001630	CYP51A1	0.5	3	0.7	2	1	3	0.8	2	0.7	0.7	0.7	1	2	3	0.5	1	0.8	0.8	1	1	0.6		1	0.8	0.8	3	6	1	0.6	0.8	0.7	
ENSG00000001631	KRIT1	6	8	3	7	6	7	11	6	9	8	6	7	4	8	10	11	2	7	8	8	5	3	7	7	10	7	15	12	7	8	8	9
ENSG00000002016	RAD52	2	3	1	3	3	4	5	2	5	3	1	2	0.8	3	4	7	1	3	4	4	2	3	4	3	4	3	4	5	3	3	3	6
ENSG00000002330	BAD	10	7	6	6	10	7	6	3	9	4	7	10	3	6	4	6	3	9	13	3	10	3	8	4	7	12	8	4	3	5	5	4
ENSG00000002549	LAP3	34	25	18	19	27	33	19	19	23	37	18	41	40	47	50	12	4	31	18	27	15	9	27	27	43	22	27	21	45	34	60	14
ENSG00000002586	CD99	67	20	15	23	40	36	55	48	49	71	32	11	24	41	38	63	16	45	71	39	16	12	46	52	46	34	55	17	34	47	36	39
ENSG00000002587	HS3ST1	0.5	1		1	0.9	0.8	1	2	1	8		0.7		0.7	0.8	16			0.7	0.9	0.6		0.7	0.8	1	1	0.8		1	3	1	
ENSG00000002726	AOC1					87	91				0.6		96			0.6			183	0.7	48			105	0.9		15	2		1	0.7	5	0.7
ENSG00000002745	WNT16															0.7										0.6							16
ENSG00000002746	HECW1				4						0.5		4															0.6					
ENSG00000002822	MAD1L1	2	1	3	2	1	2	2	1	2	1	1	2	1	2	4	2		2	2	1	1	1	1	2	4	2	5	1	2	2	3	2
ENSG00000002834	LASP1	35	12	40	23	42	55	20	15	27	30	8	23	16	34	38	22	6	31	12	46	11	3	72	24	37	41	8	13	38	29	37	20
ENSG00000002919	SNX11	7	5	7	6	6	4	4	6	6	5	3	6	3	6	11	4	2	6	5	6	3	2	5	9	11	5	7	10	15	7	10	5
ENSG00000002933	TMEM176A	7	6	0.5	3	26	24	3	3	7	22	5	55	75	8	13	14	1	12	2	32	1		44	4	9	10	2	0.7	13	15	30	2
ENSG00000003056	M6PR	18	22	18	17	25	17	24	18	27	25	16	22	11	28	40	19	5	23	19	25	16	5	19	25	39	22	24	34	37	32	40	16
ENSG00000003096	KLHL13	0.7	3		2	2	1	13	2	5	3	2	4	0.9	0.5		3	0.5	0.5	2	2	0.6	0.5	2	15	0.6	0.6	2			3	1	
ENSG00000003137	CYP26B1	10	2		4	0.8	2	0.8	2	1		2	5		3	3	3		3	0.9	0.8	1		1	0.9	0.8		12	5	2	1	2	15
ENSG00000003147	ICA1	5	3	7	6	7	6	3	3	6	5	9	4	0.6	6	4	0.5	4	3	8	9	8		6	2	4	12	15	5	4	6	3	8
ENSG00000003249	DBNDD1		2		6	0.5	0.5		5	1	1	0.7	2	0.5	1	2	1	1		2	0.5	3	5			0.6	2		0.8	2	0.5	0.9	1
ENSG00000003393	ALS2	3	3	2	5	3	4	4	2	4	4	6	5	5	4	2	3	0.7	4	3	3	1	3	4	4	3	3	4	4	2	3	3	4
ENSG00000003400	CASP10	4	0.9	7	1	7	11	2	3	4	5	1	2	1	6	4	0.5	0.5	4	1	8	1	0.8	8	3	11	5	0.5	3	5	6	5	3
ENSG00000003402	CFLAR	17	9	14	3	8	8	11	7	8	11	11	10	5	17	14	5	2	10	10	9	6	6	10	9	16	9	4	11	11	9	17	8
ENSG00000003436	TFPI	9	3	0.5	0.6	4	10	6	5	7	12	3	8	31	20	5	5	0.6	22	2	5	0.7	0.7	8	5	4	3	1	2	3	10	4	1
ENSG00000003509	NDUFAF7	4	8	4	3	4	5	7	3	3	6	6	4	2	4	7	4	0.9	4	5	5	2	4	5	6	5	4	23	4	6	5	6	5
ENSG00000003756	RBM5	12	13	18	11	10	13	34	10	23	17	7	6	4	16	26	30	4	15	22	17	10	6	14	16	23	13	19	16	20	14	18	33
ENSG00000003987	MTMR7		1	0.8	8					0.5			0.7		0.5		1		0.6		0.5			0.5				1	2			0.5	0.6
ENSG00000003989	SLC7A2	13	8		5	5	2	13	9	48	13	5	6	102	5	3	40	19	12	15	3	2	31	2	5	2	5	18	40	3	7	3	4
ENSG00000004059	ARF5	24	26	44	32	32	37	31	56	44	34	25	23	12	37	43	28	19	37	39	25	19	15	39	28	39	42	32	27	30	39	35	66
ENSG00000004139	SARM1	0.5	1		1	0.7	4	1	0.5	2	0.9		0.8		1	1	0.8	0.5	0.6	2	1	1		1	1	2	1	0.6	1	0.7	0.8	1	0.9
ENSG00000004142	POLDIP2	36	73	29	35	35	39	31	40	42	29	55	59	43	28	32	32	18	25	37	48	32	72	34	46	31	37	55	40	45	35	35	34
ENSG00000004399	PLXND1	26	9	10	8	6	4	14	6	14	17	9	6	3	31	14	4	1	46	6	5	3	3	5	14	21	6	7	8	6	15	18	7
ENSG00000004455	AK2	21	17	17	9	27	31	21	16	22	15	10	36	19	19	23	17	4	16	18	31	11	10	34	19	19	21	14	27	35	17	23	20
ENSG00000004468	CD38	2	0.8	7	9	2	3	0.5	0.8	2	2	0.6		0.9	4	19				11	3	0.8	6	3		14	2	0.5	0.9	13	5	12	
ENSG00000004478	FKBP4	7	17	11	18	21	10	16	24	27	14	8	24	12	11	10	18	7	24	26	21	16	11	12	18	9	15	37	25	18	15	13	20
ENSG00000004487	KDM1A	8	14	16	11	14	13	21	12	20	13	7	9	4	11	18	19	4	14	16	18	8	6	12	16	12	11	51	14	19	16	13	15
ENSG00000004534	RBM6	17	24	11	10	12	27	45	13	22	18	9	11	5	18	41	30	5	13	22	24	12	8	25	22	36	14	25	19	25	19	31	30
ENSG00000004660	CAMKK1	2	4	1	12	1	1	4	1	1	2	1	0.6		2	1	3	1	1	2	1	7		2	2	2	1	4	4	0.7	3	2	3
ENSG00000004700	RECQL	12	9	7	4	7	6	14	9	8	12	8	6	3	11	20	7	1	9	8	10	3	2	7	17	16	6	7	8	19	16	19	8
ENSG00000004766	VPS50	3	4	2	6	4	3	4	3	3	3	2	4	1	3	4	3	0.7	2	3	4	2	2	3	3	3	3	4	4	4	4	4	4
ENSG00000004776	HSPB6	248	82		5	13	10	29	49	44	55	172	4	5	15	3	67	4	22	54	7	5	281	15	83	2	4	16	2	0.7	66	18	2
ENSG00000004777	ARHGAP33	1	3	9	9	1	3	4	1	2	2	1	1		3	3	4	0.9	2	4	1	3	0.6	2	2	4	3	14	2	1	1	3	3
ENSG00000004779	NDUFAB1	21	22	12	20	28	28	11	10	17	8	48	28	17	11	14	8	4	13	15	22	11	44	25	12	13	21	14	10	15	12	17	8
ENSG00000004799	PDK4	160	194	1	11	42	53	26	131	86	77	16	33	44	26	13	241	117	43	14	18	7	5	121	38	67	34	10	44	7	27	31	2
ENSG00000004809	SLC22A16			7				0.5																				9					
ENSG00000004838	ZMYND10			0.6				0.6		30					2													72	0.5				
ENSG00000004846	ABCB5										1																						
ENSG00000004848	ARX				3		0.8										27						4				2	3					
ENSG00000004864	SLC25A13	6	11	6	7	12	12	8	7	9	9	3	20	39	6	5	7	2	11	7	14	3	1	10	6	8	11	7	11	8	9	9	9
ENSG00000004866	ST7	4	6	4	3	3	3	5	3	6	4	3	5	5	8	2	5	2	6	4	3	4	1	3	4	3	4	3	7	3	4	2	2
ENSG00000004897	CDC27	13	11	13	16	9	9	14	11	11	14	9	8	7	12	13	10	2	14	10	11	5	5	9	14	12	9	16	24	15	14	15	8
ENSG00000004939	SLC4A1			181									28						6														
ENSG00000004948	CALCR												0.8																				
ENSG00000004961	HCCS	8	10	8	9	13	14	6	9	7	9	18	11	8	7	9	5	2	8	7	13	5	14	12	6	10	9	9	7	11	11	9	6
ENSG00000004975	DVL2	4	5	4	4	4	5	10	7	9	6	4	3	0.9	6	7	14	2	7	9	4	4	2	4	8	7	4	9	7	6	6	5	7
ENSG00000005001	PRSS22						1	0.6	20	2	11		1		3			2	3	5	2	8					5		2	7	9		3
ENSG00000005007	UPF1	10	11	13	9	10	11	11	9	12	11	6	12	4	11	15	13	7	14	15	6	14	4	11	8	18	11	23	13	9	11	13	10
ENSG00000005020	SKAP2	19	16	9	11	17	10	3	9	9	10	1	15	4	19	20	12	1	5	6	14	2	1	14	5	25	9	11	4	21	21	24	7
ENSG00000005022	SLC25A5	95	93	138	85	308	513	72	179	80	84	89	283	118	102	170	55	118	124	72	343	119	8	428	107	115	206	52	91	234	143	143	115
ENSG00000005059	MCUB	4	1	5	2	4	2	6	3	3	5	1	0.7	0.7	4	21	4		4	1	4	0.8		4	5	10	4	2	1	17	5	14	4
ENSG00000005073	HOXA11					2		49					2						7	7	3		1		35						4	0.9	
ENSG00000005075	POLR2J	12	19	24	10	11	15	12	7	15	10	15	11	10	12	16	16	6	14	16	11	13	18	14	9	17	16	14	12	16	10	14	11
ENSG00000005100	DHX33	3	4	3	6	4	4	6	4	6	4	2	3	3	4	5	5	2	5	5	5	3	1	4	6	5	4	5	5	5	4	6	6
ENSG00000005102	MEOX1	8				2	0.8	3	2	2	4	10			0.7	5				1	2	0.7	2	0.8	6	8	0.5	1	0.5	4	6	4	3
ENSG00000005108	THSD7A	1	0.7		2	0.8		4	0.5	2	3		7	0.5	1		2		4	3	0.7				2	0.8		1	1		2	0.8	0.6
ENSG00000005156	LIG3	1	2	3	2	2	2	4	2	4	2	1	2	0.6	2	2	4	0.8	3	4	3	2	0.9	2	3	3	2	7	4	3	2	3	2
ENSG00000005175	RPAP3	4	6	4	9	6	6	7	6	7	8	4	5	3	5	12	11	1	6	7	6	3	4	6	7	8	5	8	7	14	8	10	6
ENSG00000005187	ACSM3		0.7	3		5	1	6		9	3	2	11	17	2	0.7	51	4	0.6	7	5	0.8		2	0.9	0.8	3	6	0.5	0.9	1	0.9	
ENSG00000005189	AC004381.6	1	0.8	4	0.9	1	1	1	1	3	1	1		0.5	0.7	1	0.6		0.8	4	1			1	1	0.6	2	228	0.5	1	1	0.9	1
ENSG00000005194	CIAPIN1	7	10	8	11	10	11	7	9	9	9	11	10	5	9	12	5	2	12	8	13	5	4	9	12	9	9	38	9	18	10	11	11
ENSG00000005206	SPPL2B	4	3	9	3	6	14	3	2	5	4	2	4	1	4	8	3	3	5	6	4	5	2	13	2	12	14	13	3	3	2	7	4
ENSG00000005238	FAM214B	4	4	11	5	4	4	3	6	3	6	4	3	0.7	5	3	3	0.6	4	3	4	2	1	4	4	7	3	3	4	3	4	6	4
ENSG00000005243	COPZ2	26	7		3	3	2	9	4	7	9	10	5	7	5	2	3	2	8	12	5	5	11	3	16	4	2	7	9	3	7	5	12
ENSG00000005249	PRKAR2B	172	50	15	24	10	6	11	21	8	9	12	5	2	5	7	44	4	18	12	11	10	0.7	8	8	27	7	21	2	7	13	9	2
ENSG00000005302	MSL3	5	4	10	5	5	5	5	5	5	8	2	3	2	8	27	4	0.9	5	5	6	3	4	6	5	17	6	8	5	15	9	20	8
ENSG00000005339	CREBBP	7	5	17	7	6	5	11	6	9	7	3	5	3	8	9	14	3	7	7	5	5	4	6	8	11	7	14	9	6	7	9	8
ENSG00000005379	TSPOAP1	0.9	4	12	14	1	2	6	1	10	3	2	2		4	4	8	1	0.7	7	1	4	1	2	2	5	2	0.8	4	1	2	3	1
ENSG00000005381	MPO			2353	0.7														2			24				1						0.5	
ENSG00000005421	PON1		2								1			157																			
ENSG00000005436	GCFC2	4	5	2	3	4	3	8	4	6	4	3	5	4	4	6	6	1	4	6	4	3	3	3	6	4	4	6	8	5	5	5	6
ENSG00000005448	WDR54	1	3	2	4	2	2	4	0.9	21	3	1	3		4	4	4	0.7	3	2	2	1		2	3	5	3	13	2	4	3	3	2
ENSG00000005469	CROT	2	6	1	4	7	17	5	8	7	9	2	7	7	4	3	5	0.9	7	12	6	2	2	10	5	3	4	2	22	4	20	4	14
ENSG00000005471	ABCB4		3								0.5	2		34		3					0.5		0.9	0.5		3		0.6		2	0.8	1	0.6
ENSG00000005483	KMT2E	11	10	21	16	18	12	24	11	16	16	7	10	5	16	21	25	3	12	14	18	9	3	12	15	19	17	13	15	18	17	18	15
ENSG00000005486	RHBDD2	17	62	11	60	12	23	16	14	33	20	10	24	9	39	12	17	8	16	28	12	16	2	19	12	17	26	39	46	9	19	17	15
ENSG00000005513	SOX8		0.5		13						0.7	0.6				1			0.6		0.5	6				1	0.8	1		2		1	
ENSG00000005700	IBTK	8	21	4	9	14	11	11	10	11	11	8	12	14	9	10	12	4	8	12	14	17	8	11	9	9	14	7	15	10	12	14	7
ENSG00000005801	ZNF195	3	3	4	4	4	5	5	2	4	4	2	3	1	3	6	2	1	3	4	6	2	2	4	3	6	4	2	4	5	5	5	4
ENSG00000005810	MYCBP2	11	6	10	11	6	4	8	9	7	7	4	6	3	6	18	15	2	5	7	6	4	1	4	6	12	5	9	7	16	9	11	20
ENSG00000005812	FBXL3	14	12	22	12	12	10	17	14	15	14	7	14	7	14	16	21	3	13	14	11	6	4	11	13	14	9	16	22	14	15	12	14
ENSG00000005844	ITGAL	2	1	22	1	3	5	2	2	3	7	0.5	1	3	18	50	2		2	2	6	2		8	2	50	6	0.8	1	36	9	35	1
ENSG00000005882	PDK2	12	9	0.9	8	5	7	6	4	7	4	15	16	5	4	2	11	3	4	5	4	4	16	8	4	4	5	4	6	2	5	2	4
ENSG00000005884	ITGA3	2	8		2	10	13	5	5	15	11	3	11		36	1	5	1	13	8	7	3	0.7	13	7	5	12	2	15	2	16	6	18
ENSG00000005889	ZFX	7	5	9	5	5	4	13	5	8	5	4	5	4	6	10	11	2	7	9	4	3	3	4	11	8	4	4	9	5	5	8	6
ENSG00000005893	LAMP2	28	34	33	65	28	32	35	43	38	63	16	50	49	37	26	35	10	38	59	27	40	24	28	33	30	34	20	49	27	37	31	48
ENSG00000005961	ITGA2B			5				0.5		0.9	0.7				0.8		0.6		0.6							1		2	1				
ENSG00000005981	ASB4		25									0.7							1				8										
ENSG00000006007	GDE1	13	14	13	19	28	19	14	15	13	14	19	14	7	19	8	8	4	14	20	29	13	13	17	17	10	14	12	17	12	21	14	14
ENSG00000006015	C19orf60	4	3	3	4	3	4	1	0.6	2	0.8	1	3	1	3	4	3	0.9	2	4	1	3	5	3	1	7	4	1	1	2	1	5	2
ENSG00000006016	CRLF1	3	2	1	3	0.7	0.5		2	0.7	0.8	2	0.6		1	0.8		0.5	4			0.8	2		1			0.9	0.5	0.5	1	1	3
ENSG00000006025	OSBPL7	1	2	3	3	5	16	3	1	3	4	1	1		4	5	4	2	2	5	6	3	5	12	2	7	28	0.8	3	3	3	4	0.6
ENSG00000006042	TMEM98	3	8		11	19	19	29	6	29	24	4	7	3	15	2	45	5	7	20	19	7		23	15	5	21	6	11	2	12	3	4
ENSG00000006047	YBX2	3		0.8		5	7	0.5		0.6											3	3	0.6	7	1			148	0.8				2
ENSG00000006059	KRT33A								2																			2					
ENSG00000006062	MAP3K14	2	4	3	2	3	5	3	6	5	5	3	2	2	6	14	4	2	2	4	4	4	2	6	3	10	4	7	2	11	6	9	7
ENSG00000006071	ABCC8		5		5		1	0.9		0.5		0.6						4		1				0.6			2		4				
ENSG00000006116	CACNG3		0.9		28																												
ENSG00000006118	TMEM132A	0.6	1		15	0.6	0.7	3	0.8	0.8	2	0.6	0.9		2	0.7	2		7	2		4		0.5	0.9	0.9	3	1	0.5	2	1	2	
ENSG00000006125	AP2B1	24	27	17	81	41	21	32	16	37	33	23	35	10	32	23	39	6	33	26	53	12	10	21	33	29	29	77	45	32	30	26	16
ENSG00000006128	TAC1		5		26	1	4	0.5			5		0.9							0.5	1	0.6		5	0.7	13						4	
ENSG00000006194	ZNF263	3	5	3	4	4	4	7	3	7	5	2	3	2	5	6	7	2	5	5	4	3	1	3	5	6	4	5	5	6	4	5	5
ENSG00000006210	CX3CL1	10	2		22	2	2	5	5	10	9	5	9	5	30	5	2	2	0.7	16	3	14	0.9	3	6	0.7	2	2	9	3	8	3	3
ENSG00000006282	SPATA20	7	15	3	7	8	11	12	8	15	12	13	8	3	9	8	20	5	8	19	8	9	4	8	8	16	18	49	25	4	10	9	4
ENSG00000006283	CACNA1G				3			1		1							0.5			0.6													0.6
ENSG00000006327	TNFRSF12A	3	5	4	0.6	4	12	12	1	1	20	10	5	11	16	0.7	0.6	11	15	5	2	3	1	8	13	1	2	1	3	0.7	5	9	1
ENSG00000006377	DLX6							1											2									2					
ENSG00000006432	MAP3K9		0.8		6	1	0.9		4	1			1		2	1	0.5	0.5	0.5	0.5	1	0.8		1		0.8	1	5	2	3	0.8	0.8	3
ENSG00000006451	RALA	20	23	4	22	23	21	17	35	16	24	7	11	8	37	15	15	3	19	12	22	7	6	19	14	13	22	10	12	24	17	17	19
ENSG00000006453	BAIAP2L1	2	6			14	17	2	8	9	11	0.6	3	6	7	0.8	0.7	3	7	17	15	6	0.6	15	2	0.8	29	8	10	4	7	4	12
ENSG00000006459	KDM7A	5	2	15	5	12	10	8	6	4	7	3	4	5	6	10	3	2	8	4	11	3	3	9	5	7	10	10	4	8	6	10	8
ENSG00000006468	ETV1	1	10		10	2	0.7	2	0.8	0.6	7	9	0.9	0.8	14	0.5			0.9	2	2	28		1	1	3	1	3	3	0.5	2	0.9	
ENSG00000006530	AGK	4	6	2	7	4	3	6	4	6	4	7	4	2	5	8	4	0.9	4	6	6	3	1	4	5	6	5	3	5	7	5	6	5
ENSG00000006534	ALDH3B1	1	5	9	0.7	3	7	0.9	2	9	3	0.7	6		18	1	0.5	0.6	5	0.8	2	1		6	1	6	7	0.9	0.7	0.8	4	3	1
ENSG00000006555	TTC22		0.5			6	7	0.7	16	3	1		3		1	0.9		0.8		2	5	3		8		0.8	8		1	4	1	0.9	9
ENSG00000006576	PHTF2	3	2	4	3	4	2	5	4	3	5	4	3	1	4	10	4	0.6	4	3	3	1	20	3	6	6	2	6	3	9	7	8	4
ENSG00000006606	CCL26		0.7														4				0.9				0.7			0.6					0.7
ENSG00000006607	FARP2	2	2	1	3	5	5	3	3	3	3	1	2	1	3	3	3	0.8	2	2	5	1	0.7	5	3	3	5	7	2	4	3	3	6
ENSG00000006611	USH1C				2	21	37			1	14		21					0.5			21			38	0.5		15					2	
ENSG00000006625	GGCT	19	13	11	12	20	17	10	22	14	15	6	13	8	10	14	8	3	18	16	19	10	5	13	10	8	11	7	10	18	16	17	25
ENSG00000006634	DBF4	1	1	15	1	3	3	2	2	2	2	0.5	0.9	0.7	1	8	2		2	2	3	0.9		2	2	3	2	45	2	8	3	5	2
ENSG00000006638	TBXA2R	2	3			0.7	0.5	0.8	0.8	0.9	1	1	1	1	2	0.6			3	0.9				1	2	3	0.6		0.6		0.9	1	
ENSG00000006652	IFRD1	9	11	29	7	6	10	11	6	4	7	4	4	3	7	5	6	13	5	9	6	5	4	8	7	7	6	10	8	3	6	9	6
ENSG00000006659	LGALS14																		14														
ENSG00000006695	COX10	4	3	3	4	8	8	4	6	5	3	10	5	2	3	4	3	1	5	4	9	3	11	7	6	4	5	19	4	7	5	5	3
ENSG00000006704	GTF2IRD1	1	3		2	2	3	3	7	3	3	2	3	0.5	2		3	1	2	4	2	3	5	2	3	0.9	3	3	8	1	3	1	6
ENSG00000006712	PAF1	18	22	16	18	15	14	20	15	23	19	13	20	15	18	20	26	5	16	24	14	11	12	14	16	23	17	46	21	23	18	21	12
ENSG00000006715	VPS41	8	9	3	22	9	7	12	9	11	17	6	9	4	11	10	12	3	9	10	9	4	1	7	10	10	8	8	12	10	12	9	9
ENSG00000006740	ARHGAP44	0.8	1		8	8	4	2	0.5	5	4	1	1		7	0.9	3	0.5	5	2	7	2	0.5	4	1	0.6	2	2	3	0.9	0.9	1	
ENSG00000006744	ELAC2	9	12	9	7	8	8	8	9	11	8	9	8	5	8	10	8	2	8	9	10	6	7	7	10	13	9	13	10	12	9	10	10
ENSG00000006747	SCIN				2	6	10	0.5	6	1	1		12		2				7	1	5			14			8	2		1	0.8		2
ENSG00000006756	ARSD	4	5	3	2	11	13	9	5	24	9	2	27	9	12	3	13	5	5	12	10	6		10	6	5	14	3	17	3	7	5	5
ENSG00000006757	PNPLA4	4	10	1	5	5	5	5	4	13	3	8	15	5	5	4	9	3	2	7	4	5	9	3	5	3	3	3	14	3	3	3	6
ENSG00000006788	MYH13																		0.5				1										
ENSG00000006831	ADIPOR2	44	39	9	22	23	26	15	26	15	15	10	13	28	18	12	14	10	13	14	22	8	9	23	13	11	27	24	25	16	10	15	15
ENSG00000006837	CDKL3		0.7		0.5			0.7		0.8							0.5								0.5			5	0.7				
ENSG00000007001	UPP2				1								17	2																			
ENSG00000007038	PRSS21			3			0.6			3	2				1	2				2	0.5	3				1	0.8	28		1	0.5	0.9	
ENSG00000007047	MARK4	3	4	2	8	2	2	4	3	4	3	3	3	1	3	2	6	1	3	5	1	3	8	2	3	4	3	16	3	2	3	3	5
ENSG00000007062	PROM1			1	1	14	6	3	2	2	20	3	8	0.5	1			2	11	1	7	14		10	2		15	4	1		3	2	
ENSG00000007080	CCDC124	19	10	13	11	12	9	8	4	8	4	8	14	5	9	10	7	4	10	13	3	11	20	11	3	15	14	12	4	4	5	13	4
ENSG00000007129	CEACAM21	1	0.7	8	0.6	0.7	1	3		0.8	1				3	10			2		1			1	0.7	7	1	1		7	2	5	
ENSG00000007168	PAFAH1B1	20	23	9	71	23	22	29	24	26	28	21	22	9	29	24	24	5	20	21	23	14	17	24	30	21	23	43	32	29	25	23	31
ENSG00000007171	NOS2					2	10				0.5				1	0.7					8			7							5	18	
ENSG00000007174	DNAH9									12					0.6													2					
ENSG00000007202	KIAA0100	20	20	16	17	23	12	17	20	22	16	10	26	2	20	20	16	4	18	14	22	13	10	16	22	20	19	22	26	23	22	21	22
ENSG00000007216	SLC13A2					2	79				6		27								4	20		64									
ENSG00000007237	GAS7	6	5	13	77	8	4	9	10	13	10	15	0.9	0.5	9	6	5	0.6	10	2	8	2	1	5	11	11	4	14	0.8	6	10	16	21
ENSG00000007255	TRAPPC6A	7	8	19	5	10	9	7	5	17	6	5	20	8	9	15	6	4	8	16	4	10	4	10	3	20	15	11	15	7	7	7	13
ENSG00000007264	MATK			3	3	0.5	2			2	1				2	3								2		5	2	1		0.7	0.5	2	
ENSG00000007306	CEACAM7					544			52		27		1								564						2			8	36	31	1
ENSG00000007312	CD79B	1		11		2	2	2	1	2	4	2	0.7	0.5	2	134			1	1	3	2		3	2	72	2	0.5	0.8	111	11	46	0.9
ENSG00000007314	SCN4A	10																					35			0.7		1	2				
ENSG00000007341	ST7L	1	2	2	0.9	2	1	2	1	2	1	0.9	1	0.7	1	1	2		1	2	2	0.9		1	1	1	1	9	2	1	1	1	2
ENSG00000007350	TKTL1											1														0.5		102					
ENSG00000007372	PAX6				3													0.5									0.5						
ENSG00000007376	RPUSD1	2	2	6	3	3	5	3	2	2	2	1	3	0.6	3	6	3	1	3	3	1	4	1	4	1	6	4	2	2	3	3	4	2
ENSG00000007384	RHBDF1	5	3		2	4	3	8	6	5	8	5	2	0.6	11	2	9	2	16	13	4	8	3	4	5	4	4	2	5	2	6	4	9
ENSG00000007392	LUC7L	7	11	10	8	5	10	20	6	9	11	4	5	2	11	13	13	3	8	14	8	7	3	10	7	15	9	12	12	9	8	11	10
ENSG00000007402	CACNA2D2	0.6			3	1	0.8	1	0.5	0.8	0.6	1	1		40	0.8	1	0.8	1	2	1	0.7		1	1	1	2	7	1	0.7		0.6	2
ENSG00000007516	BAIAP3	1	12		9	0.7	3	0.5	0.5	15		0.5	2	0.8	2	1		1	1	2	0.5	2	0.7	2		2	3	7				0.6	
ENSG00000007520	TSR3	21	14	10	15	13	16	12	9	12	9	14	17	3	14	14	15	8	15	18	5	20	18	14	6	18	15	14	10	7	10	16	10
ENSG00000007541	PIGQ	3	6	17	4	3	4	4	2	6	4	2	7	0.8	7	3	4	5	4	6	1	4	1	3	2	5	5	9	7	1	3	3	3
ENSG00000007545	CRAMP1	2	2	3	3	2	2	3	2	3	2	1	2		3	3	3	0.6	3	3	2	2	0.7	2	3	4	2	9	3	2	2	2	4
